Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
SRCE,1st Source Corporation,Financials,37,7.7,4.99,4.95,8.06
UGI,UGI Corporation,Utilities,37,1.02,3.2,4.4,6.23
NNN,"National Retail Properties, Inc.",Real Estate,36,2.7,2.93,2.44,3.34
JKHY,"Jack Henry & Associates, Inc.",Information Technology,34,32.22,14.34,11.45,12.07
ERIE,Erie Indemnity Company,Financials,34,7.15,7.2,7.22,7.22
WTRG,"Essential Utilities, Inc.",Utilities,34,6.49,6.83,6.9,7.16
SEIC,SEI Investments Company,Financials,33,6.75,7.26,6.92,7.53
MGRC,McGrath RentCorp,Industrials,33,2.17,3.1,5.23,6.85
GD,General Dynamics Corporation,Industrials,33,6.9,6.12,6.94,8.72
CBU,"Community Bank System, Inc.",Financials,33,2.25,2.3,2.87,4.61
WABC,Westamerica Bancorporation,Financials,32,2.33,2.18,1.55,1.48
BMI,"Badger Meter, Inc.",Information Technology,32,23.24,17.09,13.78,12.68
UMBF,UMB Financial Corporation,Financials,32,2.62,4.4,5.35,5.61
ECL,Ecolab Inc.,Materials,32,9.27,6.57,5.0,7.41
SYK,Stryker Corporation,Health Care,32,6.24,7.82,8.71,9.91
O,Realty Income Corporation,Real Estate,32,-6.22,0.29,1.1,2.73
FELE,"Franklin Electric Co., Inc.",Industrials,32,11.12,12.63,11.52,11.15
ESS,"Essex Property Trust, Inc.",Real Estate,31,-20.46,-4.21,-1.19,3.71
CFR,"Cullen/Frost Bankers, Inc.",Financials,31,30.17,16.6,10.73,8.67
LIN,Linde plc,Materials,31,9.03,9.46,9.7,7.9
CAT,Caterpillar Inc.,Industrials,31,36.61,16.86,12.57,10.14
BANF,BancFirst Corporation,Financials,31,7.23,8.34,7.5,10.6
ROP,"Roper Technologies, Inc.",Industrials,31,9.9,10.07,10.16,14.14
RTX,Raytheon Technologies Corporation,Industrials,31,6.9,7.35,6.04,5.27
AOS,A. O. Smith Corporation,Industrials,31,6.56,7.05,7.64,15.8
WST,"West Pharmaceutical Services, Inc.",Health Care,31,5.2,5.5,5.84,7.05
AROW,Arrow Financial Corporation,Financials,31,3.18,4.37,3.82,3.64
CB,Chubb Limited,Financials,31,5.28,4.13,3.8,1.13
ATR,"AptarGroup, Inc.",Materials,31,8.87,4.67,3.91,4.67
SBSI,"Southside Bancshares, Inc.",Financials,30,2.86,3.21,3.21,6.71
CAH,"Cardinal Health, Inc.",Health Care,30,-24.32,-8.27,-4.67,1.29
EBTC,"Enterprise Bancorp, Inc.",Financials,30,30.44,17.49,13.4,9.6
ALB,Albemarle Corporation,Materials,30,0.63,1.06,1.84,3.89
NEE,"NextEra Energy, Inc.",Utilities,30,10.17,10.19,10.51,11.01
EXPD,"Expeditors International of Washington, Inc.",Industrials,30,5.8,7.97,7.87,8.6
BRO,"Brown & Brown, Inc.",Financials,30,13.69,12.43,10.69,10.18
LECO,"Lincoln Electric Holdings, Inc.",Industrials,29,9.51,11.28,8.68,11.39
MATW,Matthews International Corporation,Industrials,29,4.31,3.9,3.68,7.75
