Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
EBMT,"Eagle Bancorp Montana, Inc.",Financials,13,1.81,8.29,8.55,6.72
BAH,Booz Allen Hamilton Holding Corporation,Information Technology,13,8.52,11.3,16.28,16.85
MSI,"Motorola Solutions, Inc.",Information Technology,13,11.33,11.34,11.4,11.98
COFS,"ChoiceOne Financial Services, Inc.",Financials,13,3.82,5.06,6.39,7.38
EGP,"EastGroup Properties, Inc.",Real Estate,13,5.96,14.26,12.68,9.18
SMBC,"Southern Missouri Bancorp, Inc.",Financials,13,4.77,6.92,9.47,10.31
STAG,"STAG Industrial, Inc.",Real Estate,13,0.66,0.69,0.68,1.39
AAPL,Apple Inc.,Information Technology,12,4.22,4.61,5.44,7.94
ABR,"Arbor Realty Trust, Inc.",Financials,12,2.39,7.62,8.58,12.71
ZION,"Zions Bancorporation, National Association",Financials,12,1.22,4.86,5.34,26.36
WOR,"Worthington Industries, Inc.",Materials,12,-47.62,-15.4,-6.83,0.0
AL,Air Lease Corporation,Industrials,12,4.94,8.53,9.5,20.66
ABT,Abbott Laboratories,Health Care,12,7.85,6.92,11.45,9.6
PSX,Phillips 66,Energy,12,7.15,7.53,5.16,9.07
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,12,6.46,6.92,7.03,13.27
POWI,"Power Integrations, Inc.",Information Technology,12,5.2,14.48,18.28,13.93
HFBL,"Home Federal Bancorp, Inc. of Louisiana",Financials,12,4.09,11.8,11.2,14.65
AGCO,AGCO Corporation,Industrials,12,4.51,15.14,12.99,10.18
RF,Regions Financial Corporation,Financials,12,11.37,14.67,10.69,18.47
HY,"Hyster-Yale Materials Handling, Inc.",Industrials,12,5.98,2.29,1.73,2.5
HII,"Huntington Ingalls Industries, Inc.",Industrials,12,4.59,4.51,7.78,18.04
REG,Regency Centers Corporation,Real Estate,12,3.63,4.06,3.02,3.75
QSR,Restaurant Brands International Inc.,Consumer Discretionary,12,31.82,11.01,7.72,25.47
GABC,"German American Bancorp, Inc.",Financials,12,8.01,8.74,9.7,9.74
FULT,Fulton Financial Corporation,Financials,12,7.82,7.21,5.83,7.99
FSFG,"First Savings Financial Group, Inc.",Financials,12,7.15,12.63,22.98,15.13
FR,"First Industrial Realty Trust, Inc.",Real Estate,12,15.63,11.08,9.98,13.7
STBA,"S&T Bancorp, Inc.",Financials,12,3.11,5.59,4.07,6.94
NXST,"Nexstar Media Group, Inc.",Communication Services,12,25.19,34.16,30.3,27.41
ITT,ITT Inc.,Industrials,12,10.01,13.19,16.77,11.24
DPZ,"Domino's Pizza, Inc.",Consumer Discretionary,12,24.8,17.12,18.37,19.71
SCVL,"Shoe Carnival, Inc.",Consumer Discretionary,12,28.05,27.22,26.05,15.91
FIX,"Comfort Systems USA, Inc.",Industrials,12,41.18,35.73,24.89,18.23
EXPO,"Exponent, Inc.",Industrials,12,7.7,11.87,11.85,16.18
FNLC,"The First Bancorp, Inc.",Financials,12,2.9,4.07,3.78,3.27
FBIZ,"First Business Financial Services, Inc.",Financials,12,37.37,20.19,15.82,11.53
KAI,Kadant Inc.,Industrials,12,10.63,8.09,6.56,8.08
RMD,ResMed Inc.,Health Care,12,9.79,7.64,5.86,6.67
GTY,Getty Realty Corp.,Real Estate,12,4.6,4.83,5.09,7.32
TCBK,TriCo Bancshares,Financials,12,10.01,9.7,9.99,11.62
NEU,NewMarket Corporation,Materials,12,13.0,7.73,6.5,7.85
SSD,"Simpson Manufacturing Co., Inc.",Industrials,12,3.78,4.65,-0.54,10.51
DKL,"Delek Logistics Partners, LP",Energy,12,10.55,7.03,6.3,9.72
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,12,4.26,7.34,9.95,12.86
MBWM,Mercantile Bank Corporation,Financials,12,5.98,6.37,6.03,11.46
NBTB,NBT Bancorp Inc.,Financials,12,6.46,6.27,4.69,4.63
LKFN,Lakeland Financial Corporation,Financials,12,4.35,12.19,10.61,13.39
BXS,BancorpSouth Bank,Financials,12,6.39,8.64,7.09,14.87
TSBK,"Timberland Bancorp, Inc.",Financials,12,5.44,4.92,10.09,18.35
NDAQ,"Nasdaq, Inc.",Financials,12,9.31,10.16,8.8,17.14
CNO,"CNO Financial Group, Inc.",Financials,12,6.79,7.3,7.94,10.14
MPLX,MPLX LP,Energy,12,10.45,8.21,5.77,10.1
MTRN,Materion Corporation,Materials,12,3.89,4.05,4.23,4.8
UFPI,"Universal Forest Products, Inc.",Industrials,12,20.0,26.64,26.98,20.57
BC,Brunswick Corporation,Consumer Discretionary,12,5.01,9.64,14.07,14.09
AMSF,"AMERISAFE, Inc.",Financials,12,8.83,9.1,8.16,11.92
WTS,"Watts Water Technologies, Inc.",Industrials,12,19.57,17.78,12.89,11.03
WSO,"Watsco, Inc.",Industrials,12,7.66,11.44,10.52,18.1
ZTS,Zoetis Inc.,Health Care,12,15.2,20.0,21.38,19.63
AEE,Ameren Corporation,Utilities,11,6.35,6.81,6.9,5.23
VMC,Vulcan Materials Company,Materials,11,6.98,7.53,8.22,23.67
BFC,Bank First Corporation,Financials,11,6.9,22.18,14.15,16.39
LLY,Eli Lilly and Company,Health Care,11,15.05,15.22,15.05,10.25
UNTY,"Unity Bancorp, Inc.",Financials,11,8.34,13.05,10.9,19.05
BAC,Bank of America Corporation,Financials,11,8.7,8.64,8.67,23.62
SIGI,"Selective Insurance Group, Inc.",Financials,11,14.4,11.56,11.5,10.44
SFBS,"ServisFirst Bancshares, Inc.",Financials,11,-21.06,2.74,7.57,33.52
SBFG,"SB Financial Group, Inc.",Financials,11,7.7,10.15,10.31,13.9
MATX,"Matson, Inc.",Industrials,11,4.77,7.59,8.95,7.18
LSTR,"Landstar System, Inc.",Industrials,11,9.53,14.48,14.54,18.17
MAS,Masco Corporation,Industrials,11,1.76,11.14,18.57,13.4
OTTR,Otter Tail Corporation,Utilities,11,6.86,6.23,5.97,4.45
OVLY,Oak Valley Bancorp,Financials,11,40.63,15.78,10.76,10.56
OTEX,Open Text Corporation,Information Technology,11,3.87,6.74,8.69,11.87
UBCP,"United Bancorp, Inc.",Financials,11,6.02,6.42,5.29,7.89
CCBG,"Capital City Bank Group, Inc.",Financials,11,15.79,12.39,12.89,25.61
CFFI,C&F Financial Corporation,Financials,11,0.0,3.67,3.39,4.0
CDW,CDW Corporation,Information Technology,11,3.98,13.5,14.46,28.99
LAND,Gladstone Land Corporation,Real Estate,11,9.51,3.87,2.55,5.35
OC,Owens Corning,Industrials,11,15.39,32.15,22.23,14.14
OSK,Oshkosh Corporation,Industrials,11,12.2,10.61,10.64,11.5
IBCP,Independent Bank Corporation,Financials,11,4.35,4.56,5.93,18.23
JOUT,Johnson Outdoors Inc.,Consumer Discretionary,11,4.77,12.39,17.48,15.97
CSGS,"CSG Systems International, Inc.",Information Technology,11,7.15,6.27,6.16,6.79
TKR,The Timken Company,Industrials,11,3.85,4.3,3.81,3.05
DHI,"D.R. Horton, Inc.",Consumer Discretionary,11,23.81,16.37,15.78,20.59
AVT,"Avnet, Inc.",Information Technology,11,6.67,12.05,9.32,7.52
ALLE,Allegion plc,Industrials,11,6.67,10.07,12.2,19.63
ALG,Alamo Group Inc.,Industrials,11,18.19,22.92,16.73,14.03
MS,Morgan Stanley,Financials,11,9.24,19.13,22.26,26.08
MORN,"Morningstar, Inc.",Financials,11,62.01,37.01,16.76,13.59
MDLZ,"Mondelez International, Inc.",Consumer Staples,11,10.5,10.41,10.43,11.93
PLD,"Prologis, Inc.",Real Estate,11,10.35,15.08,12.62,11.27
REXR,"Rexford Industrial Realty, Inc.",Real Estate,11,9.87,20.27,17.68,13.28
ICE,"Intercontinental Exchange, Inc.",Financials,11,7.15,10.9,10.36,13.23
IOSP,Innospec Inc.,Materials,11,9.93,10.15,8.73,10.92
HVT,"Haverty Furniture Companies, Inc.",Consumer Discretionary,11,6.79,9.12,10.64,14.69
FSBW,"FS Bancorp, Inc.",Financials,11,6.01,24.08,26.68,24.88
MFC,Manulife Financial Corporation,Financials,11,8.77,7.75,9.23,8.51
WTFC,Wintrust Financial Corporation,Financials,11,12.5,13.23,12.48,16.24
GCBC,"Greene County Bancorp, Inc.",Financials,11,13.34,10.8,10.12,6.72
FDBC,"Fidelity D & D Bancorp, Inc.",Financials,10,5.48,7.79,7.76,8.74
VALU,"Value Line, Inc.",Financials,10,8.26,10.7,8.36,7.0
WMS,"Advanced Drainage Systems, Inc.",Industrials,10,14.82,13.87,12.12,31.54
EQIX,"Equinix, Inc. (REIT)",Real Estate,10,17.6,14.08,11.61,
ISTR,Investar Holding Corporation,Financials,10,3.8,9.77,12.5,40.38
SWKS,"Skyworks Solutions, Inc.",Information Technology,10,6.16,9.2,10.98,22.94
STZ,"Constellation Brands, Inc.",Consumer Staples,10,12.97,8.97,5.57,
FCPT,"Four Corners Property Trust, Inc.",Real Estate,10,1.84,2.66,3.87,
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,10,4.83,4.56,10.43,-10.68
FXNC,First National Corporation,Financials,10,0.84,8.03,10.95,23.22
SONY,Sony Corporation,Consumer Discretionary,10,10.87,4.72,11.02,17.63
EFSC,Enterprise Financial Services Corp,Financials,10,6.01,12.23,11.33,17.58
DHR,Danaher Corporation,Health Care,10,2.86,8.74,9.7,10.45
CTRE,"CareTrust REIT, Inc.",Real Estate,10,3.58,3.06,5.21,24.96
OGS,"ONE Gas, Inc.",Utilities,10,1.54,4.41,5.71,12.14
HBCP,"Home Bancorp, Inc.",Financials,10,1.01,3.54,3.76,30.6
SNV,Synovus Financial Corp.,Financials,10,0.0,4.82,4.85,17.24
DLB,"Dolby Laboratories, Inc.",Information Technology,10,10.82,10.57,9.26,28.53
DKS,"DICK'S Sporting Goods, Inc.",Consumer Discretionary,10,10.01,40.11,31.96,24.3
NNI,"Nelnet, Inc.",Financials,10,5.67,7.57,8.65,10.85
NEP,"NextEra Energy Partners, LP",Utilities,10,6.48,11.41,12.82,34.36
TTEK,"Tetra Tech, Inc.",Industrials,10,11.89,13.64,14.67,18.33
UCB,"United Community Banks, Inc.",Financials,10,2.18,6.42,6.7,23.93
NPO,"EnPro Industries, Inc.",Industrials,10,3.45,3.58,3.72,
LRCX,Lam Research Corporation,Information Technology,10,15.44,15.38,13.84,31.89
MWA,"Mueller Water Products, Inc.",Industrials,10,4.86,5.12,4.79,13.98
LOGI,Logitech International S.A.,Information Technology,10,-46.85,13.01,12.97,17.76
UTL,Unitil Corporation,Utilities,10,4.94,3.81,2.82,2.11
MSCI,MSCI Inc.,Financials,10,15.95,20.7,20.5,42.92
ETR,Entergy Corporation,Utilities,10,5.77,5.95,4.64,3.3
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,10,7.76,39.55,25.6,28.74
BCE,BCE Inc.,Communication Services,9,0.91,1.25,3.95,2.7
FSV,FirstService Corporation,Real Estate,9,66.67,27.14,20.12,
DG,Dollar General Corporation,Consumer Discretionary,9,33.34,13.37,13.56,
STN,Stantec Inc.,Industrials,9,4.48,5.22,6.79,6.24
HOFT,Hooker Furniture Corporation,Consumer Discretionary,9,3.38,7.53,8.57,8.69
HLI,"Houlihan Lokey, Inc.",Financials,9,3.67,11.74,13.5,
IMO,Imperial Oil Limited,Energy,9,52.91,38.57,28.1,16.64
SLF,Sun Life Financial Inc.,Financials,9,34.15,17.07,13.42,8.57
HRB,"H&R Block, Inc.",Consumer Discretionary,9,13.94,9.12,6.18,5.68
CHCT,Community Healthcare Trust Incorporated,Real Estate,9,2.22,2.27,2.33,
RY,Royal Bank of Canada,Financials,9,2.92,5.82,5.86,4.71
MLM,"Martin Marietta Materials, Inc.",Materials,9,9.29,9.05,8.24,6.7
GILD,"Gilead Sciences, Inc.",Health Care,9,2.67,2.75,4.1,
LCII,LCI Industries,Consumer Discretionary,9,2.39,7.62,11.02,
BWXT,"BWX Technologies, Inc.",Industrials,9,4.35,4.56,7.15,9.15
BMO,Bank of Montreal,Financials,9,3.89,9.53,7.76,4.82
CGNX,Cognex Corporation,Information Technology,9,7.02,7.58,8.28,
NBHC,National Bank Holdings Corporation,Financials,9,7.7,8.79,8.36,18.81
LW,"Lamb Weston Holdings, Inc.",Consumer Staples,9,28.58,15.28,12.48,
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,9,10.15,10.56,10.78,
NSA,National Storage Affiliates Trust,Real Estate,9,0.9,12.27,12.12,
CABO,"Cable One, Inc.",Communication Services,9,1.73,3.97,6.79,
CSWC,Capital Southwest Corporation,Financials,9,4.55,9.33,7.94,27.67
TFII,TFI International Inc.,Industrials,9,41.38,28.78,22.55,14.21
PEBO,Peoples Bancorp Inc.,Financials,9,2.59,3.6,3.8,10.24
ORRF,"Orrstown Financial Services, Inc.",Financials,9,7.5,5.14,7.47,
CNQ,Canadian Natural Resources Limited,Energy,9,13.35,24.99,22.41,14.35
KNSL,"Kinsale Capital Group, Inc.",Financials,8,7.15,10.9,13.4,
CBAN,"Colony Bankcorp, Inc.",Financials,8,2.28,3.16,8.45,
CQP,"Cheniere Energy Partners, L.P.",Energy,8,2.26,6.03,5.55,6.43
CRAI,"CRA International, Inc.",Industrials,8,44.67,25.8,21.2,
PFIS,Peoples Financial Services Corp.,Financials,8,25.31,11.07,8.45,5.19
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,8,6.25,6.69,7.22,
CTRA,Coterra Energy,Energy,8,5.01,23.59,19.14,26.51
OLED,Universal Display Corporation,Information Technology,8,14.29,26.0,31.96,
COP,ConocoPhillips,Energy,8,65.88,26.0,21.27,2.12
CNA,CNA Financial Corporation,Financials,8,4.77,5.01,4.69,5.82
ODFL,"Old Dominion Freight Line, Inc.",Industrials,8,30.01,37.51,35.63,
NI,NiSource Inc.,Utilities,8,6.01,6.4,5.79,0.39
NOA,North American Construction Group Ltd.,Energy,8,29.23,43.84,33.44,18.13
UNF,UniFirst Corporation,Industrials,8,6.35,8.47,17.93,24.49
INVH,Invitation Homes Inc.,Real Estate,8,-14.4,18.45,16.8,
CW,Curtiss-Wright Corporation,Industrials,8,5.07,5.35,4.7,4.79
HTH,Hilltop Holdings Inc.,Financials,8,6.25,12.32,16.28,
SSNC,"SS&C Technologies Holdings, Inc.",Information Technology,8,11.37,12.96,18.19,31.69
EOG,"EOG Resources, Inc.",Energy,8,10.31,31.18,29.11,21.69
EQR,Equity Residential,Real Estate,8,-23.59,-5.64,-2.26,0.13
GWRS,"Global Water Resources, Inc.",Utilities,8,8.96,6.4,4.15,
SNDR,"Schneider National, Inc.",Industrials,8,5.56,10.72,9.63,
GIC,Global Industrial Company,Industrials,8,25.0,16.04,15.82,
GHC,Graham Holdings Company,Consumer Discretionary,8,4.25,4.44,4.36,-3.87
SUI,"Sun Communities, Inc.",Real Estate,8,1.08,4.24,4.62,3.76
G,Genpact Limited,Information Technology,8,10.91,12.37,12.41,
FISI,"Financial Institutions, Inc.",Financials,8,0.0,3.58,3.72,4.54
FCF,First Commonwealth Financial Corporation,Financials,8,4.05,4.22,5.19,6.29
GRMN,Garmin Ltd.,Consumer Discretionary,8,2.06,4.39,5.88,4.66
AMAT,"Applied Materials, Inc.",Information Technology,8,24.6,17.38,12.87,14.29
MTB,M&T Bank Corporation,Financials,8,2.89,5.94,5.47,6.69
VRTS,"Virtus Investment Partners, Inc.",Financials,8,16.06,26.16,27.94,24.35
MSBI,"Midland States Bancorp, Inc.",Financials,8,3.34,3.46,5.04,
WTW,Willis Towers Watson Public Limited Company,Financials,8,4.77,5.24,6.25,1.03
YUM,"Yum! Brands, Inc.",Consumer Discretionary,7,10.75,10.25,9.8,5.84
MOS,The Mosaic Company,Materials,7,5.01,45.1,36.86,-1.73
MPWR,"Monolithic Power Systems, Inc.",Information Technology,7,25.0,27.72,25.6,27.23
WD,"Walker & Dunlop, Inc.",Financials,7,3.18,9.14,16.73,
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,7,13.4,32.99,23.62,30.31
SAMG,Silvercrest Asset Management Group Inc.,Financials,7,5.41,5.73,5.39,4.98
GNTY,"Guaranty Bancshares, Inc.",Financials,7,4.35,6.27,8.58,
FBMS,"The First Bancshares, Inc.",Financials,7,11.12,19.92,26.4,20.9
EWBC,"East West Bancorp, Inc.",Financials,7,14.59,18.57,15.84,11.82
FUNC,First United Corporation,Financials,7,5.13,12.24,15.44,
GOLF,Acushnet Holdings Corp.,Consumer Discretionary,7,10.26,9.23,8.96,
HESM,Hess Midstream LP,Energy,7,11.17,11.29,11.06,
HLNE,Hamilton Lane Incorporated,Financials,7,10.38,12.02,13.05,
PWR,"Quanta Services, Inc.",Industrials,7,-18.19,14.48,9.7,
HBB,Hamilton Beach Brands Holding Company,Consumer Discretionary,7,4.6,4.83,5.09,
PRK,Park National Corporation,Financials,7,0.96,0.97,0.98,1.21
SF,Stifel Financial Corp.,Financials,7,16.67,40.95,33.25,
DVN,Devon Energy Corporation,Energy,7,37.5,26.0,25.74,1.59
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,7,4.16,9.55,21.59,
PHM,"PulteGroup, Inc.",Consumer Discretionary,7,20.59,12.89,12.76,13.56
NYT,The New York Times Company,Communication Services,7,19.05,22.81,21.36,12.07
MBIN,Merchants Bancorp,Financials,7,12.5,14.48,14.04,
VICI,VICI Properties Inc.,Real Estate,7,5.28,7.1,7.7,
AWI,"Armstrong World Industries, Inc.",Industrials,7,10.18,10.07,9.63,
LPX,Louisiana-Pacific Corporation,Materials,7,8.34,15.22,14.01,
WING,Wingstop Inc.,Consumer Discretionary,7,19.52,16.49,19.63,
ACNB,ACNB Corporation,Financials,7,10.53,7.66,5.16,5.05
AIN,Albany International Corp.,Industrials,7,3.97,9.04,7.55,5.25
WMB,"The Williams Companies, Inc.",Energy,7,6.15,5.03,4.57,-0.3
TPB,"Turning Point Brands, Inc.",Consumer Staples,7,7.7,8.38,9.24,
OFLX,"Omega Flex, Inc.",Industrials,7,3.06,4.59,4.57,
KFRC,Kforce Inc.,Industrials,7,5.56,15.76,16.12,14.01
TMO,Thermo Fisher Scientific Inc.,Health Care,7,11.43,14.48,15.47,10.03
NTR,Nutrien Ltd.,Materials,7,1.92,5.54,4.19,4.44
LCNB,LCNB Corp.,Financials,7,3.54,4.56,4.99,3.24
KMI,"Kinder Morgan, Inc.",Energy,7,1.78,2.21,3.81,-3.88
BCC,Boise Cascade Company,Materials,7,17.15,24.99,17.26,
OMF,"OneMain Holdings, Inc.",Financials,6,3.01,17.35,32.74,
BKU,"BankUnited, Inc.",Financials,6,7.55,7.41,6.3,0.83
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Staples,6,23.37,17.87,16.89,6.4
NC,"NACCO Industries, Inc.",Energy,6,4.66,4.67,4.14,-1.27
J,Jacobs Engineering Group Inc.,Industrials,6,11.54,11.36,11.28,
OVV,Ovintiv Inc.,Energy,6,4.35,36.92,74.02,15.67
CSWI,"CSW Industrials, Inc.",Industrials,6,14.87,13.27,15.99,
PCB,PCB Bancorp,Financials,6,30.44,26.94,29.2,
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,6,4.55,10.92,10.9,
NXPI,NXP Semiconductors N.V.,Information Technology,6,0.0,21.71,26.55,
VOYA,"Voya Financial, Inc.",Financials,6,75.0,41.9,45.69,48.6
CNOB,"ConnectOne Bancorp, Inc.",Financials,6,6.77,17.3,15.53,9.0
HTBI,"HomeTrust Bancshares, Inc.",Financials,6,9.76,10.9,12.48,
HTGC,"Hercules Capital, Inc.",Financials,6,1.27,7.45,4.73,2.59
RICK,"RCI Hospitality Holdings, Inc.",Consumer Discretionary,6,8.34,17.57,14.87,
PNR,Pentair plc,Industrials,6,4.55,4.77,5.03,-1.78
ETD,Ethan Allen Interiors Inc.,Consumer Discretionary,6,9.29,5.86,14.43,13.81
PSTL,"Postal Realty Trust, Inc.",Real Estate,6,1.06,2.75,36.45,
EQH,"Equitable Holdings, Inc.",Financials,6,9.31,9.81,10.14,
EBAY,eBay Inc.,Consumer Discretionary,6,8.01,14.48,14.04,
FBP,First BanCorp.,Financials,6,14.29,27.34,35.53,
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,6,29.47,13.19,10.51,
FBK,FB Financial Corporation,Financials,6,13.34,15.62,16.28,
FANG,"Diamondback Energy, Inc.",Energy,6,53.66,42.28,48.95,
VST,Vistra Energy Corp.,Utilities,6,32.97,22.06,16.89,
ASH,Ashland Global Holdings Inc.,Materials,6,7.39,10.84,8.28,1.64
VRSK,"Verisk Analytics, Inc.",Industrials,6,14.71,10.38,9.31,
GIS,"General Mills, Inc.",Consumer Staples,6,5.31,5.28,3.96,3.99
BFST,"Business First Bancshares, Inc.",Financials,6,12.01,6.78,8.07,
LDOS,"Leidos Holdings, Inc.",Information Technology,6,5.48,3.23,3.14,1.87
WKC,World Kinect Corporation,Energy,6,21.43,12.32,13.57,16.32
PLBC,Plumas Bancorp,Financials,5,8.01,24.48,18.62,
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,5,7.54,16.26,10.71,9.44
PINE,"Alpine Income Property Trust, Inc.",Real Estate,5,0.92,3.03,80.46,
CZWI,"Citizens Community Bancorp, Inc.",Financials,5,10.35,11.64,9.86,23.12
INFY,Infosys Limited,Information Technology,5,35.96,13.14,17.24,14.6
RDN,Radian Group Inc.,Financials,5,8.89,21.61,150.18,58.17
SPFI,"South Plains Financial, Inc.",Financials,5,7.7,23.13,56.32,
RPRX,Royalty Pharma plc,Health Care,5,5.01,7.3,,
SNX,SYNNEX Corporation,Information Technology,5,14.29,26.0,1.3,29.04
ESNT,Essent Group Ltd.,Financials,5,12.01,16.97,30.15,
EME,"EMCOR Group, Inc.",Industrials,5,34.79,21.39,23.79,11.26
SSTK,"Shutterstock, Inc.",Consumer Discretionary,5,11.12,12.63,,
CWEN,"Clearway Energy, Inc.",Utilities,5,7.32,7.62,15.65,
MTG,MGIC Investment Corporation,Financials,5,13.96,20.51,32.5,
WHD,"Cactus, Inc.",Energy,5,34.79,17.73,47.11,
ALSN,"Allison Transmission Holdings, Inc.",Industrials,5,8.7,9.58,10.76,6.97
AMCR,Amcor plc,Materials,5,2.04,2.08,16.42,
ARES,Ares Management Corporation,Financials,5,20.78,25.55,23.79,24.38
ADC,Agree Realty Corporation,Real Estate,5,2.78,4.84,5.65,5.6
MUSA,Murphy USA Inc.,Consumer Discretionary,5,15.49,19.85,,
WAL,Western Alliance Bancorporation,Financials,5,2.76,7.49,24.41,
FLNG,Flex LNG Ltd.,Energy,5,40.0,41.58,120.82,
AME,"AMETEK, Inc.",Industrials,5,12.01,11.87,14.87,13.0
FOX,Fox Corporation,Communication Services,5,3.93,4.09,-3.71,
FDP,Fresh Del Monte Produce Inc.,Consumer Staples,5,33.34,26.0,48.18,7.18
SBAC,SBA Communications Corporation,Real Estate,5,15.3,19.11,39.58,
ERIC,Telefonaktiebolaget LM Ericsson (publ),Information Technology,5,1.46,3.19,19.02,-5.61
GPRK,GeoPark Limited,Energy,5,9.7,67.41,69.59,
FOXA,Fox Corporation,Communication Services,5,3.93,4.09,-3.71,
CARR,Carrier Global Corporation,Industrials,5,6.72,15.95,,
CAG,"Conagra Brands, Inc.",Consumer Staples,5,2.95,6.02,10.5,3.43
KTB,"Kontoor Brands, Inc.",Consumer Discretionary,5,4.13,6.77,12.52,
KRG,Kite Realty Group Trust,Real Estate,5,5.21,14.1,-8.65,-0.1
CTVA,"Corteva, Inc.",Materials,5,6.46,6.92,20.48,
CFBK,Central Federal Corporation,Financials,5,8.7,24.36,,
CMC,Commercial Metals Company,Materials,5,9.38,11.87,7.84,3.85
TOL,"Toll Brothers, Inc.",Consumer Discretionary,5,8.44,13.23,15.39,
CTSH,Cognizant Technology Solutions Corporation,Information Technology,5,3.45,7.73,8.45,
KBR,"KBR, Inc.",Information Technology,5,11.12,10.9,13.4,6.49
CSR,Centerspace,Real Estate,5,2.75,1.85,1.39,19.16
KKR,KKR & Co. Inc.,Financials,5,6.16,6.58,6.66,-10.23
OXM,"Oxford Industries, Inc.",Consumer Discretionary,5,6.41,22.14,12.91,12.63
PATK,"Patrick Industries, Inc.",Industrials,5,18.43,24.36,55.19,
PBHC,"Pathfinder Bancorp, Inc.",Financials,5,8.34,13.05,10.2,18.27
PFBC,Preferred Bank,Financials,5,27.28,24.82,18.47,39.55
TAC,TransAlta Corporation,Utilities,5,8.34,5.99,7.9,-12.33
TJX,"The TJX Companies, Inc.",Consumer Discretionary,5,12.77,11.91,10.5,15.84
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,5,0.1,8.01,7.56,4.78
KDP,Keurig Dr Pepper Inc.,Consumer Staples,5,7.37,9.04,7.84,
MCBS,"MetroCity Bankshares, Inc.",Financials,5,15.28,21.75,14.6,
BSVN,Bank7 Corp.,Financials,5,21.63,26.0,35.1,
NRG,"NRG Energy, Inc.",Utilities,5,7.95,7.84,68.51,11.69
NVS,Novartis AG,Health Care,5,6.89,5.35,5.71,3.09
BOTJ,"Bank of the James Financial Group, Inc.",Financials,5,25.0,14.39,12.89,11.37
LXP,Lexington Realty Trust,Real Estate,5,3.97,5.87,4.95,-2.49
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,5,14.29,18.98,21.68,10.31
BRX,Brixmor Property Group Inc.,Real Estate,5,4.81,8.23,-0.55,4.14
UMH,"UMH Properties, Inc.",Real Estate,5,3.66,3.81,3.38,1.67
VCTR,"Victory Capital Holdings, Inc.",Financials,5,21.49,43.16,73.12,
VIV,Telef̫nica Brasil S.A.,Communication Services,5,-29.12,-12.02,,
VMI,"Valmont Industries, Inc.",Industrials,5,0.0,6.27,9.86,5.73
