,ticker,year,MarketCap,CurrentRatio,DividendRecord,DividendYield,EPS,FCF_per_share,OperatingCF_per_share,OperatingIncomeMargin,ROE,ROCE,Debt_to_Total_Capital_Ratio,DividendGrowthRate
0,EMR,2013,49593416976.62,1.4424918032786884,55,0.016639203195922287,2.83587477076449,4.204283405160329,5.163726067125561,0.09769346142932425,0.18932451582427964,0.14105115299075266,0.4274045223412312,
1,EMR,2014,43001440354.06,1.2854270167967825,56,0.017293860064960767,3.082090016258879,4.198934931326139,5.2999889799849935,0.12332395973427884,0.2121751161181935,0.19245691025885645,0.48216570288112176,
2,EMR,2015,31309925559.43,1.2883333333333333,57,0.019300709044926315,4.139878894121514,2.816950804708514,3.863377757650668,0.12162104271087693,0.33535453532978593,0.19869820828667414,0.5540779163447743,0.02
3,EMR,2016,35835904317.5,1.2437562437562437,58,0.019004846318577576,2.5435733166495664,3.7865794817890186,4.481978425240001,0.15183858972593306,0.2160412262156448,0.16066744389390847,0.5685782692965454,0.05
4,EMR,2017,44719513458.99,1.6356788899900891,59,0.019223745000845255,2.365620996682223,2.2378338282184926,2.979622757349414,0.1405922431865828,0.17412250516173433,0.14755225522552257,0.41261285541032205,-0.03
5,EMR,2018,37594700000.0,1.0738157040882543,60,0.019447172428599602,3.5012714558169105,3.615702479338843,4.59631277813096,0.13712086397058823,0.2462277858500056,0.1677913679178968,0.44747730500833693,0.01
6,EMR,2019,46594860000.0,1.194611780455154,61,0.019700551615445233,3.7741407528641573,3.9476268412438626,4.919803600654665,0.13335510559547137,0.28009231142961255,0.16872116245437643,0.4986298033006516,-0.01
7,EMR,2020,48061260000.0,1.5222126188418323,62,0.020128824476650566,3.2859531772575252,4.2558528428093645,5.155518394648829,0.11504319332737563,0.23378941106484236,0.11294379130841668,0.5337031900138697,-0.02
8,EMR,2021,55391526000.0,1.3499839897534422,63,0.020219861077188536,3.8653910708291375,5.025176233635448,6.000335683115139,0.12476049707122133,0.23302640898512597,0.1513888136878012,0.46366744451077224,0.0
9,EMR,2022,56809884000.0,1.0937379452230938,64,0.02058915071958661,5.463307406154887,4.042948934731147,4.940818397024011,0.1368362042605239,0.3117522192203782,0.09625380892633088,0.5464928018203299,0.0
10,EMR,2023,55672760000.0,2.7462241653418125,65,0.02085230579854236,23.11013986013986,0.479020979020979,1.1136363636363635,0.12451207409857758,0.6389385663879357,0.04990189319616058,0.29612492770387505,0.01
11,CWT,2013,1101383877.99,0.8373553282428084,45,0.012224841151876088,0.9898000159485701,0.024821454668367875,2.60097425361624,0.12669854460600272,0.0789202947444368,0.041268163038380705,0.4721565944722236,
12,CWT,2014,1176510335.8999999,0.7079455779813143,46,0.012803338181394296,1.186833755210361,2.7574671815511755,5.518929661619134,0.13698265603791807,0.09054523751009375,0.04155418869897875,0.4852341610921849,
